numGoroutines numTrials totalOps(r) opsPerSecond(r) totalDur(r)
11 1 16270000 3.2413819167090924e+06 5.019464049s
12 1 17040000 3.396729535911043e+06 5.01659017s
13 1 17150000 3.416363969265804e+06 5.019956935s
14 1 17440000 3.4725909015411194e+06 5.022186746s
15 1 17600000 3.503357120525047e+06 5.023752759s
16 1 17620000 3.506793907975571e+06 5.024532511s
17 1 17980000 3.579615439337144e+06 5.022885923s
18 1 18110000 3.6003522276869966e+06 5.030063409s
19 1 18030000 3.587054967039349e+06 5.026407503s
20 1 18290000 3.637425376224684e+06 5.02828185s
numGoroutines numTrials totalOps(w) opsPerSecond(w) totalDur(w)
11 1 14150000 2.8174472048897254e+06 5.022276895s
12 1 14320000 2.8499156291831755e+06 5.024710154s
13 1 13920000 2.7712931117190938e+06 5.022925919s
14 1 13870000 2.762979635239074e+06 5.019942899s
15 1 14090000 2.8045440785265462e+06 5.023989499s
16 1 13830000 2.7510735809533843e+06 5.027128353s
17 1 13990000 2.784732612089511e+06 5.023821655s
18 1 13980000 2.7767492848056173e+06 5.034664122s
19 1 13810000 2.7432361925700326e+06 5.034200131s
20 1 14080000 2.7975421114500826e+06 5.032989474s
numGoroutines numTrials totalOps(rw) opsPerSecond(rw) totalDur(rw)
11 1 14900000 2.9714690016403603e+06 5.01435485s
12 1 15190000 3.0289976233900385e+06 5.014860323s
13 1 15180000 3.021770046693464e+06 5.023545725s
14 1 15200000 3.0284729137365436e+06 5.019031186s
15 1 15310000 3.0521924674699674e+06 5.016066373s
16 1 15240000 3.031882809926078e+06 5.026579507s
17 1 15540000 3.0901480816559065e+06 5.028885215s
18 1 15470000 3.0694689831437045e+06 5.039959708s
19 1 15370000 3.0593652814270714e+06 5.0239179s
20 1 15560000 3.097030413065161e+06 5.024167646s
