numGoroutines numTrials totalOps(r) opsPerSecond(r) totalDur(r)
11 1 17210000 3.430472796324015e+06 5.016801188s
12 1 17570000 3.5008779769586865e+06 5.018741046s
13 1 17470000 3.483890761428988e+06 5.014508547s
14 1 17740000 3.532669023300481e+06 5.021698858s
15 1 17780000 3.537657223241424e+06 5.025925034s
16 1 17770000 3.544710558528445e+06 5.013103244s
17 1 18160000 3.6155680919574415e+06 5.022723826s
18 1 18300000 3.6419430105557577e+06 5.024790324s
19 1 18450000 3.667730332185629e+06 5.030358922s
20 1 18280000 3.6344551613289327e+06 5.029639709s
numGoroutines numTrials totalOps(w) opsPerSecond(w) totalDur(w)
11 1 13100000 2.6114212170262416e+06 5.016425506s
12 1 13270000 2.6437133330993596e+06 5.019454959s
13 1 12900000 2.5668098168343436e+06 5.025693729s
14 1 13340000 2.654855807833474e+06 5.024755002s
15 1 13510000 2.6875425829037274e+06 5.026897094s
16 1 13080000 2.600276620806486e+06 5.030234051s
17 1 13140000 2.6103907182228365e+06 5.033729207s
18 1 12970000 2.5765050867865435e+06 5.033950861s
19 1 13050000 2.5918718516208637e+06 5.034971151s
20 1 13220000 2.628851606450889e+06 5.028811808s
numGoroutines numTrials totalOps(rw) opsPerSecond(rw) totalDur(rw)
11 1 47140000 9.415423491186086e+06 5.006678674s
12 1 50350000 1.0058313770274296e+07 5.005809239s
13 1 50380000 1.0059292294088742e+07 5.008304613s
14 1 50520000 1.0093206718370436e+07 5.005346805s
15 1 51370000 1.0259234472703496e+07 5.007196213s
16 1 44890000 8.962795162944011e+06 5.008482196s
17 1 50760000 1.0128964524531158e+07 5.011371091s
18 1 50040000 9.988726380867494e+06 5.009647686s
19 1 44510000 8.884113117550103e+06 5.01006678s
20 1 50630000 1.0110856840291329e+07 5.007488564s
