numGoroutines numTrials totalOps(r) opsPerSecond(r) totalDur(r)
11 1 17090000 3.4099520466883755e+06 5.011800684s
12 1 16880000 3.364043088131456e+06 5.017771639s
13 1 17140000 3.4159997221010486e+06 5.017564811s
14 1 17290000 3.446194112297228e+06 5.017128878s
15 1 17590000 3.5002714945089817e+06 5.025324472s
16 1 17690000 3.5224058934657313e+06 5.02213559s
17 1 17830000 3.5522647994279256e+06 5.019333019s
18 1 18190000 3.617378201554984e+06 5.028503791s
19 1 18190000 3.6194522839893918e+06 5.025622269s
20 1 18310000 3.642075050901102e+06 5.027353842s
numGoroutines numTrials totalOps(w) opsPerSecond(w) totalDur(w)
11 1 13960000 2.7809033962174566e+06 5.019951437s
12 1 14030000 2.797311761146648e+06 5.015529622s
13 1 13930000 2.776908115696909e+06 5.016370517s
14 1 13950000 2.7774906714098263e+06 5.022519119s
15 1 13970000 2.7844237330472087e+06 5.017196138s
16 1 14000000 2.7858856402525203e+06 5.025331908s
17 1 14030000 2.7889917909574993e+06 5.03049168s
18 1 13990000 2.7803848622518945e+06 5.031677517s
19 1 13980000 2.77942877050679e+06 5.029810495s
20 1 14100000 2.800433753583225e+06 5.034934314s
numGoroutines numTrials totalOps(rw) opsPerSecond(rw) totalDur(rw)
11 1 15220000 3.033104091000638e+06 5.017961647s
12 1 15410000 3.0689619179394376e+06 5.021241844s
13 1 15360000 3.059937985778764e+06 5.019709573s
14 1 15250000 3.036091608477479e+06 5.022905092s
15 1 15310000 3.043977058691321e+06 5.029604266s
16 1 15430000 3.073860579467877e+06 5.019746212s
17 1 15460000 3.077280253954428e+06 5.023916811s
18 1 15480000 3.0725209086973127e+06 5.038208188s
19 1 15600000 3.0996741138942833e+06 5.032787134s
20 1 15470000 3.072802133135665e+06 5.03449273s
