numGoroutines numTrials totalOps(r) opsPerSecond(r) totalDur(r)
1 1 93680000 1.873557741155725e+07 5.000112777s
2 1 58620000 1.1722264483576413e+07 5.000740265s
3 1 22720000 4.54052213258628e+06 5.00382981s
4 1 20270000 4.048731077735235e+06 5.006506881s
5 1 17760000 3.5490859761113785e+06 5.004105316s
6 1 16970000 3.3883667142902506e+06 5.008312686s
7 1 16790000 3.352222312097097e+06 5.008617698s
8 1 16370000 3.268371667885601e+06 5.0086103s
9 1 16380000 3.265324784702415e+06 5.01634633s
10 1 16330000 3.2585375573175284e+06 5.011450601s
numGoroutines numTrials totalOps(w) opsPerSecond(w) totalDur(w)
1 1 60110000 1.2020111315969257e+07 5.000785635s
2 1 36210000 7.2400807458193e+06 5.001325437s
3 1 16490000 3.29670518343479e+06 5.001963804s
4 1 14820000 2.962145755999659e+06 5.0031299s
5 1 14220000 2.838232098183066e+06 5.010161082s
6 1 13390000 2.675200941000712e+06 5.005231493s
7 1 13330000 2.6626461803963915e+06 5.006297907s
8 1 13170000 2.627476352995621e+06 5.012414283s
9 1 12930000 2.5783748220772566e+06 5.014786791s
10 1 13010000 2.5915424560170923e+06 5.020176293s
numGoroutines numTrials totalOps(rw) opsPerSecond(rw) totalDur(rw)
1 1 67480000 1.3495320202934481e+07 5.000251864s
2 1 53470000 1.0693029479258403e+07 5.00045381s
3 1 53600000 1.0718798133321704e+07 5.000560635s
4 1 47450000 9.485267107815413e+06 5.002494865s
5 1 53160000 1.0628362228334436e+07 5.001711351s
6 1 52680000 1.0531075702700859e+07 5.002337984s
7 1 53640000 1.0720562864662038e+07 5.003468631s
8 1 47080000 9.404859945275793e+06 5.005922499s
9 1 50460000 1.0085369279164942e+07 5.003287297s
10 1 52640000 1.051886301474591e+07 5.004343143s
