numGoroutines numTrials totalOps(r) opsPerSecond(r) totalDur(r)
11 1 15110000 3.009958610013337e+06 5.020002584s
12 1 14450000 2.879243456254031e+06 5.018679462s
13 1 14370000 2.8619273475616598e+06 5.021091822s
14 1 14450000 2.8768372973411493e+06 5.022877037s
15 1 14510000 2.8901184289246346e+06 5.020555509s
16 1 14570000 2.8989682628061734e+06 5.025926012s
17 1 14450000 2.8726246088936753e+06 5.030243059s
18 1 14440000 2.8737565280877203e+06 5.024781974s
19 1 14510000 2.88282366225572e+06 5.033259644s
20 1 14380000 2.8571669753107387e+06 5.032957515s
numGoroutines numTrials totalOps(w) opsPerSecond(w) totalDur(w)
11 1 17660000 3.5208030667419615e+06 5.015901107s
12 1 17340000 3.458571395530361e+06 5.013630779s
13 1 17660000 3.5209064287223057e+06 5.015753857s
14 1 17930000 3.5746113611255256e+06 5.015929898s
15 1 17920000 3.572641362697092e+06 5.015896694s
16 1 18040000 3.5901944950254224e+06 5.02479741s
17 1 18170000 3.614715098775259e+06 5.026675548s
18 1 18120000 3.605376844135333e+06 5.02582692s
19 1 18190000 3.6169439801510484e+06 5.029107473s
20 1 18300000 3.640450213714032e+06 5.026850781s
numGoroutines numTrials totalOps(rw) opsPerSecond(rw) totalDur(rw)
11 1 15780000 3.1447618394664833e+06 5.017868063s
12 1 16090000 3.2063539140183125e+06 5.018160949s
13 1 15670000 3.1252433063990097e+06 5.014009619s
14 1 15620000 3.1106883783408636e+06 5.021396585s
15 1 15660000 3.1149597218651273e+06 5.027352325s
16 1 15650000 3.1131433938400256e+06 5.027073289s
17 1 15710000 3.1247672169008395e+06 5.027574507s
18 1 15630000 3.1095170403554104e+06 5.026504051s
19 1 15950000 3.168520600748637e+06 5.033894997s
20 1 15720000 3.127901603792548e+06 5.02573354s
