numGoroutines numTrials totalOps(r) opsPerSecond(r) totalDur(r)
1 1 59960000 1.1990190872040464e+07 5.00075442s
2 1 35490000 7.096648326941102e+06 5.000952332s
3 1 16680000 3.3337162949920357e+06 5.003425164s
4 1 14430000 2.8822079976844164e+06 5.006578294s
5 1 13320000 2.6581185098262434e+06 5.011063258s
6 1 13300000 2.654682459720456e+06 5.010015398s
7 1 12830000 2.560374389429984e+06 5.010985914s
8 1 12820000 2.5556924013655344e+06 5.016253127s
9 1 12790000 2.5478793833254497e+06 5.019860863s
10 1 12890000 2.570340799271177e+06 5.014899193s
numGoroutines numTrials totalOps(w) opsPerSecond(w) totalDur(w)
1 1 87860000 1.7571060419171993e+07 5.000267366s
2 1 58970000 1.1791666499949658e+07 5.00098947s
3 1 22050000 4.40863228091052e+06 5.001551183s
4 1 19620000 3.9216974451512937e+06 5.002935661s
5 1 18330000 3.66246239022017e+06 5.004829551s
6 1 17010000 3.396633217617168e+06 5.00790015s
7 1 16750000 3.34366216059769e+06 5.009477392s
8 1 16780000 3.34758371591921e+06 5.012570685s
9 1 16690000 3.333478072325416e+06 5.006782597s
10 1 16480000 3.2890219249117333e+06 5.010608131s
numGoroutines numTrials totalOps(rw) opsPerSecond(rw) totalDur(rw)
1 1 65820000 1.3162495950545222e+07 5.000571339s
2 1 53720000 1.0740880949136652e+07 5.001451953s
3 1 49480000 9.89280597304944e+06 5.001614318s
4 1 51810000 1.035795154284972e+07 5.001954275s
5 1 53620000 1.0718237504666474e+07 5.002688173s
6 1 52990000 1.0591992298230788e+07 5.002835964s
7 1 48890000 9.771601733028365e+06 5.003273909s
8 1 52840000 1.0561396858375471e+07 5.003126074s
9 1 46090000 9.20712668353907e+06 5.005904837s
10 1 52210000 1.0429969216162609e+07 5.005767411s
