numGoroutines numTrial accessType totalOps totalDur opsPerSecond
1 1 r 96730000 5.000012788s 1.9345950520796947e+07
1 2 r 96790000 5.000263566s 1.935697963166128e+07
1 3 r 96800000 5.000497079s 1.9358075501437567e+07
2 1 r 45540000 5.000708747s 9.106709129444927e+06
2 2 r 46710000 5.001050271s 9.340038085771922e+06
2 3 r 56200000 5.000858654s 1.123807007723518e+07
3 1 r 19350000 5.000657704s 3.8694910040577333e+06
3 2 r 18950000 5.003038407s 3.7876982862026626e+06
3 3 r 19980000 5.001626803s 3.9947002819194547e+06
4 1 r 16270000 5.003625293s 3.2516423687364236e+06
4 2 r 16570000 5.003711262s 3.3115420000027968e+06
4 3 r 16110000 5.004092362s 3.2193650385704054e+06
5 1 r 14460000 5.0086811s 2.886987554468181e+06
5 2 r 13590000 5.012504771s 2.7112193645431246e+06
5 3 r 13510000 5.006048597s 2.698735287567165e+06
6 1 r 13310000 5.013191397s 2.654995380380846e+06
6 2 r 12190000 5.009800338s 2.4332307033350677e+06
6 3 r 12830000 5.007040485s 2.5623919036476496e+06
7 1 r 12300000 5.011136608s 2.4545329657075675e+06
7 2 r 12350000 5.017206904s 2.4615289415618647e+06
7 3 r 13160000 5.010357917s 2.6265588642576807e+06
8 1 r 12570000 5.010112055s 2.5089259206199534e+06
8 2 r 11960000 5.017362183s 2.383722674142059e+06
8 3 r 12070000 5.009588981s 2.409379301531165e+06
