numGoroutines numTrial accessType totalOps totalDur opsPerSecond
1 1 rw 75250000 5.000301619s 1.5049092181573058e+07
1 2 rw 75450000 5.000572255s 1.5088273132051764e+07
1 3 rw 75230000 5.000647268s 1.504405249324616e+07
2 1 rw 38520000 5.001931775s 7.701024670613385e+06
2 2 rw 39840000 5.000752043s 7.966801724506139e+06
2 3 rw 37260000 5.000803264s 7.4508030076345755e+06
3 1 rw 14900000 5.002665886s 2.9784119786407817e+06
3 2 rw 14540000 5.002578237s 2.906501270176937e+06
3 3 rw 15060000 5.003224859s 3.01005859708853e+06
4 1 rw 12340000 5.00601144s 2.4650363164172075e+06
4 2 rw 11900000 5.005109816s 2.3775702107392084e+06
4 3 rw 13020000 5.006292283s 2.600727097818951e+06
5 1 rw 10970000 5.009187945s 2.189975724698028e+06
5 2 rw 11020000 5.007314083s 2.2007806615153765e+06
5 3 rw 10420000 5.005972402s 2.0815136727156092e+06
6 1 rw 10000000 5.007440786s 1.997028108242117e+06
6 2 rw 9850000 5.011188178s 1.965601699661417e+06
6 3 rw 10120000 5.016055375s 2.01752158687044e+06
7 1 rw 10200000 5.00973611s 2.0360353871014575e+06
7 2 rw 10030000 5.012358772s 2.0010538862520196e+06
7 3 rw 9860000 5.010905274s 1.9677083203229597e+06
8 1 rw 10030000 5.017545339s 1.9989854246138185e+06
8 2 rw 10120000 5.012900735s 2.0187912218852267e+06
8 3 rw 9950000 5.022234223s 1.981189956141956e+06
