numGoroutines numTrial accessType totalOps totalDur opsPerSecond
1 1 w 72890000 5.00068637s 1.4575999094300328e+07
1 2 w 73010000 5.000152525s 1.460155457957755e+07
1 3 w 73090000 5.000425858s 1.4616755067584086e+07
2 1 w 37960000 5.000588916s 7.591105895256118e+06
2 2 w 32960000 5.001823435s 6.58959685969003e+06
2 3 w 38410000 5.000806413s 7.680761226859353e+06
3 1 w 14000000 5.005257009s 2.797059166957155e+06
3 2 w 15500000 5.000935763s 3.099419935500579e+06
3 3 w 15370000 5.003402507s 3.0719095612429013e+06
4 1 w 11230000 5.005266928s 2.2436365855291705e+06
4 2 w 11800000 5.006078739s 2.3571343191372044e+06
4 3 w 12530000 5.003487312s 2.50425337742917e+06
5 1 w 11070000 5.008518537s 2.210234407284575e+06
5 2 w 10390000 5.00858911s 2.0744364873644027e+06
5 3 w 10640000 5.009694504s 2.123882003484339e+06
6 1 w 10330000 5.00811534s 2.0626521752592064e+06
6 2 w 10420000 5.016994417s 2.0769407206617587e+06
6 3 w 10370000 5.007680115s 2.070819174119711e+06
7 1 w 9390000 5.013776764s 1.8728396659823842e+06
7 2 w 9440000 5.010526179s 1.8840336648802888e+06
7 3 w 8980000 5.022379715s 1.7879970272219852e+06
8 1 w 8960000 5.023274227s 1.7836971654543916e+06
8 2 w 9020000 5.021112157s 1.7964147619019218e+06
8 3 w 9300000 5.018707623s 1.8530667053365423e+06
