numGoroutines numTrial accessType totalOps totalDur opsPerSecond
1 1 r 59980000 5.000471538s 1.1994868792711845e+07
1 2 r 59980000 5.000702741s 1.1994314220726043e+07
1 3 r 59540000 5.000263626s 1.1907372181420261e+07
2 1 r 34920000 5.001023905s 6.982570102311878e+06
2 2 r 34800000 5.001640067s 6.957717775336271e+06
2 3 r 27080000 5.001235507s 5.414662029432001e+06
3 1 r 13150000 5.002340452s 2.628769498234064e+06
3 2 r 15220000 5.008526478s 3.0388179171766373e+06
3 3 r 12910000 5.001597053s 2.5811755451704115e+06
4 1 r 11520000 5.005409017s 2.301510218420578e+06
4 2 r 12720000 5.003291313s 2.5423264815601995e+06
4 3 r 12310000 5.005533377s 2.4592783771182913e+06
5 1 r 9930000 5.013736927s 1.9805586421028427e+06
5 2 r 10040000 5.008440357s 2.0046160649527728e+06
5 3 r 9850000 5.005026595s 1.9680215105830021e+06
6 1 r 9390000 5.009125215s 1.8745788130592778e+06
6 2 r 9370000 5.016394915s 1.867875268747656e+06
6 3 r 9320000 5.008878699s 1.8606958882555282e+06
7 1 r 9380000 5.025567743s 1.8664557876202527e+06
7 2 r 9660000 5.008848707s 1.9285868999197143e+06
7 3 r 9800000 5.014305841s 1.9544081096667994e+06
8 1 r 8760000 5.017551551s 1.7458714496424312e+06
8 2 r 8970000 5.020601182s 1.7866386264974591e+06
8 3 r 8700000 5.013742891s 1.7352305830474626e+06
