numGoroutines numTrial accessType totalOps totalDur opsPerSecond
1 1 rw 67340000 5.00018091s 1.3467512718454821e+07
1 2 rw 67260000 5.000122308s 1.3451670950605875e+07
1 3 rw 67370000 5.000560785s 1.3472488966055034e+07
2 1 rw 51050000 5.001331595s 1.0207281606969714e+07
2 2 rw 51020000 5.000620987s 1.0202732847107496e+07
2 3 rw 48430000 5.000253873s 9.68550822219422e+06
3 1 rw 43530000 5.001500195s 8.70338864397465e+06
3 2 rw 46810000 5.001316622s 9.359535405954948e+06
3 3 rw 37430000 5.00234703s 7.482487675390245e+06
4 1 rw 44150000 5.001452232s 8.827436102962663e+06
4 2 rw 44530000 5.002222356s 8.902043298132828e+06
4 3 rw 38250000 5.00166651s 7.647451089257048e+06
5 1 rw 39120000 5.002378433s 7.820279997596895e+06
5 2 rw 44110000 5.00201746s 8.818441829269424e+06
5 3 rw 44650000 5.002575032s 8.925403360146942e+06
6 1 rw 44520000 5.002883168s 8.898868613355553e+06
6 2 rw 44420000 5.00395002s 8.876987144647779e+06
6 3 rw 43420000 5.005045239s 8.675246261845026e+06
7 1 rw 44010000 5.003739776s 8.795421418813607e+06
7 2 rw 43400000 5.004134489s 8.67282845722894e+06
7 3 rw 44640000 5.003358887s 8.922006397739343e+06
8 1 rw 44230000 5.002898125s 8.840875607476017e+06
8 2 rw 43610000 5.003702104s 8.715546827845288e+06
8 3 rw 44720000 5.004457745s 8.93603308863586e+06
