numGoroutines numTrial accessType totalOps totalDur opsPerSecond
1 1 w 93690000 5.000140182s 1.87374746686652e+07
1 2 w 93570000 5.000329882s 1.8712765399104923e+07
1 3 w 93690000 5.000099027s 1.873762889376471e+07
2 1 w 51370000 5.00067395s 1.027261535417641e+07
2 2 w 46890000 5.000715233s 9.376658700853482e+06
2 3 w 51840000 5.000484323s 1.0366995805098137e+07
3 1 w 20260000 5.002174305s 4.050238709144703e+06
3 2 w 19960000 5.001543746s 3.9907678536178097e+06
3 3 w 20390000 5.00426781s 4.0745221427308065e+06
4 1 w 18200000 5.004576943s 3.6366710327946297e+06
4 2 w 16830000 5.001648393s 3.3648906675555673e+06
4 3 w 17630000 5.003809718s 3.523315432355535e+06
5 1 w 14600000 5.012182918s 2.912902469614139e+06
5 2 w 15080000 5.00379376s 3.013713338976625e+06
5 3 w 14780000 5.008885429s 2.950756252963597e+06
6 1 w 12510000 5.013293536s 2.495365553635916e+06
6 2 w 12730000 5.010860337s 2.5404819020802015e+06
6 3 w 12760000 5.004865679s 2.5495189718157467e+06
7 1 w 11960000 5.008238263s 2.3880652980027758e+06
7 2 w 11910000 5.005431904s 2.379415049175345e+06
7 3 w 13270000 5.01175056s 2.647777426496661e+06
8 1 w 11860000 5.009775543s 2.3673715315592536e+06
8 2 w 11690000 5.015929142s 2.3305751873797104e+06
8 3 w 11830000 5.011739028s 2.360458103246632e+06
