NumThreads,BenchType,NumOpsIn10Secs
1,r,9919910
1,r,9902262
1,r,10077614
1,w,8366568
1,w,8390030
1,w,8331116
1,rw,8044659
1,rw,8141841
1,rw,8233636
2,r,3884866
2,r,3981590
2,r,4003458
2,w,2552181
2,w,2539911
2,w,2517727
2,rw,2702892
2,rw,2622236
2,rw,2668980
3,r,4211608
3,r,4193408
3,r,3935454
3,w,2840251
3,w,2725005
3,w,2768682
3,rw,2810801
3,rw,2815058
3,rw,2807501
4,r,3045357
4,r,2962172
4,r,3004630
4,w,2194019
4,w,2076328
4,w,1980044
4,rw,2129726
4,rw,2184726
4,rw,2272051
5,r,2691058
5,r,2602657
5,r,2692885
5,w,1759648
5,w,1832059
5,w,1811249
5,rw,1868127
5,rw,1844062
5,rw,1932182
6,r,2531315
6,r,2498521
6,r,2542529
6,w,1674521
6,w,1661111
6,w,1792558
6,rw,1762925
6,rw,1850519
6,rw,1868677
7,r,2716807
7,r,2806951
7,r,2753196
7,w,1713812
7,w,1695439
7,w,1662479
7,rw,1830917
7,rw,1806198
7,rw,1942690
8,r,2790664
8,r,2919647
8,r,3062933
8,w,1742002
8,w,1754413
8,w,1812467
8,rw,1837663
8,rw,1849550
8,rw,1831653
9,r,3012597
9,r,2975115
9,r,3097470
9,w,1778009
9,w,1778038
9,w,1791086
9,rw,1873833
9,rw,1920423
9,rw,1917041
10,r,3010641
10,r,2933000
10,r,3025201
10,w,1753692
10,w,1755480
10,w,1747849
10,rw,1859029
10,rw,1894515
10,rw,1849493
11,r,3038135
11,r,2944840
11,r,3073886
11,w,1758627
11,w,1780622
11,w,1812200
11,rw,2020121
11,rw,1905676
11,rw,1922747
12,r,3145794
12,r,3018372
12,r,3014728
12,w,1744487
12,w,1777840
12,w,1771221
12,rw,1912801
12,rw,1902582
12,rw,1902244
13,r,3117438
13,r,3038614
13,r,2980616
13,w,1735452
13,w,1785324
13,w,1771168
13,rw,1853484
13,rw,1930190
13,rw,1892993
14,r,2882422
14,r,3029488
14,r,2993022
14,w,1777179
14,w,1764534
14,w,1896233
14,rw,1885542
14,rw,1876770
14,rw,1901499
15,r,3024647
15,r,3029179
15,r,2960155
15,w,1753850
15,w,1788804
15,w,1749585
15,rw,1896730
15,rw,1880191
15,rw,1898711
16,r,3026599
16,r,3046092
16,r,2953963
16,w,1764052
16,w,1780509
16,w,1768158
16,rw,1889468
16,rw,1932542
16,rw,1892679
17,r,2974464
17,r,3105609
17,r,2993575
17,w,1794589
17,w,1792502
17,w,1789882
17,rw,1875201
17,rw,1830949
17,rw,1883291
18,r,2936198
18,r,3029932
18,r,3073679
18,w,1769595
18,w,1834183
18,w,1768136
18,rw,1892120
18,rw,1938142
18,rw,1837997
19,r,3021707
19,r,3018105
19,r,2967492
19,w,1779270
19,w,1741973
19,w,1754735
19,rw,1878447
19,rw,1910497
19,rw,1879220
20,r,3015958
20,r,2983686
20,r,2992212
20,w,1736643
20,w,1750218
20,w,1755662
20,rw,1855290
20,rw,1896326
20,rw,1878784
21,r,2914441
21,r,2920506
21,r,2873648
21,w,1744436
21,w,1756897
21,w,1739219
21,rw,1847470
21,rw,1827930
21,rw,1825718
22,r,2823581
22,r,2884600
22,r,2869150
22,w,1720080
22,w,1718101
22,w,1719251
22,rw,1827572
22,rw,1834641
22,rw,1820228
23,r,2913288
23,r,2845303
23,r,2795797
23,w,1724782
23,w,1731486
23,w,1712055
23,rw,1789962
23,rw,1809855
23,rw,1814012
24,r,2805668
24,r,2627803
24,r,2734319
24,w,1687342
24,w,1669403
24,w,1693113
24,rw,1771687
24,rw,1762749
24,rw,1809917
25,r,2748679
25,r,2728025
25,r,2706484
25,w,1690290
25,w,1689897
25,w,1692620
25,rw,1748160
25,rw,1747722
25,rw,1755496
26,r,2703608
26,r,2679145
26,r,2668874
26,w,1682547
26,w,1674073
26,w,1701443
26,rw,1734573
26,rw,1759425
26,rw,1764233
27,r,2645099
27,r,2613885
27,r,2634553
27,w,1663814
27,w,1697746
27,w,1686410
27,rw,1721725
27,rw,1725569
27,rw,1753610
28,r,2534858
28,r,2603480
28,r,2646489
28,w,1647808
28,w,1671041
28,w,1657380
28,rw,1743813
28,rw,1709994
28,rw,1745313
29,r,2633041
29,r,2563217
29,r,2631734
29,w,1642172
29,w,1668697
29,w,1662372
29,rw,1708721
29,rw,1727206
29,rw,1738218
30,r,2483285
30,r,2564569
30,r,2573443
30,w,1666431
30,w,1658383
30,w,1674319
30,rw,1719731
30,rw,1723550
30,rw,1696206
31,r,2547978
31,r,2516193
31,r,2559502
31,w,1674901
31,w,1659006
31,w,1617668
31,rw,1691186
31,rw,1704326
31,rw,1693364
32,r,2494336
32,r,2433109
32,r,2619022
32,w,1637052
32,w,1652770
32,w,1643612
32,rw,1695589
32,rw,1690367
32,rw,1695005
33,r,2476932
33,r,2541193
33,r,2457498
33,w,1625780
33,w,1653332
33,w,1634234
33,rw,1699411
33,rw,1716459
33,rw,1695608
34,r,2500547
34,r,2447752
34,r,2481699
34,w,1624000
34,w,1659298
34,w,1623084
34,rw,1681504
34,rw,1699688
34,rw,1676477
35,r,2477394
35,r,2470223
35,r,2460090
35,w,1633590
35,w,1632011
35,w,1639731
35,rw,1665890
35,rw,1678706
35,rw,1683211
36,r,2452167
36,r,2463345
36,r,2433180
36,w,1647804
36,w,1603495
36,w,1629493
36,rw,1656062
36,rw,1665621
36,rw,1659181
37,r,2462265
37,r,2420453
37,r,2477662
37,w,1620064
37,w,1646962
37,w,1624479
37,rw,1674457
37,rw,1671665
37,rw,1687702
38,r,2462336
38,r,2406295
38,r,2463355
38,w,1620809
38,w,1639868
38,w,1631889
38,rw,1680484
38,rw,1672404
38,rw,1619716
39,r,2417736
39,r,2417276
39,r,2461933
39,w,1621201
39,w,1634309
39,w,1611583
39,rw,1671154
39,rw,1676202
39,rw,1640670
40,r,2394278
40,r,2418359
40,r,2395849
40,w,1643309
40,w,1637534
40,w,1612731
40,rw,1676346
40,rw,1650277
40,rw,1674107
