NumThreads,BenchType,NumOpsIn5Secs
1,r,9970064
1,r,9900888
1,r,9957427
1,w,8343455
1,w,8315357
1,w,8413780
1,rw,7990651
1,rw,8007262
1,rw,8112526
2,r,4066242
2,r,4026733
2,r,4038884
2,w,2574528
2,w,2567235
2,w,2367556
2,rw,2744818
2,rw,2704964
2,rw,2652899
3,r,4228522
3,r,4098472
3,r,4199387
3,w,2681580
3,w,2788854
3,w,2742429
3,rw,2904471
3,rw,2776335
3,rw,2851861
4,r,2910104
4,r,3014370
4,r,2986283
4,w,1998831
4,w,2094390
4,w,2227553
4,rw,2058030
4,rw,2353364
4,rw,2092287
5,r,2536369
5,r,2610636
5,r,2825923
5,w,1829423
5,w,1801896
5,w,1773158
5,rw,1872940
5,rw,1877148
5,rw,1829008
6,r,2547417
6,r,2569147
6,r,2693756
6,w,1642989
6,w,1717067
6,w,1756265
6,rw,1829781
6,rw,1800918
6,rw,1785248
7,r,2770463
7,r,2783461
7,r,2868702
7,w,1739332
7,w,1666393
7,w,1731265
7,rw,1872932
7,rw,1872050
7,rw,1853978
8,r,2884105
8,r,2826005
8,r,3034797
8,w,1738615
8,w,1720726
8,w,1815170
8,rw,1835599
8,rw,1984829
8,rw,1860781
9,r,3036799
9,r,2915606
9,r,2924212
9,w,1754521
9,w,1780003
9,w,1850520
9,rw,1881986
9,rw,1898013
9,rw,1946238
10,r,3081728
10,r,3201062
10,r,3012869
10,w,1752714
10,w,1776596
10,w,1781971
10,rw,1878953
10,rw,1947693
10,rw,1820747
11,r,3687416
11,r,3704535
11,r,3757476
11,w,2523641
11,w,2590248
11,w,2528323
11,rw,2613334
11,rw,2702060
11,rw,2669741
12,r,3618473
12,r,3577756
12,r,3581715
12,w,2486133
12,w,2479010
12,w,2487812
12,rw,2584441
12,rw,2585132
12,rw,2506956
13,r,3474605
13,r,3381586
13,r,3381441
13,w,2428113
13,w,2370124
13,w,2425965
13,rw,2470013
13,rw,2439471
13,rw,2456783
14,r,3324040
14,r,3355302
14,r,3460023
14,w,2369065
14,w,2341630
14,w,2381382
14,rw,2372834
14,rw,2448080
14,rw,2391026
15,r,3280944
15,r,3220520
15,r,3268523
15,w,2332194
15,w,2306022
15,w,2314829
15,rw,2374752
15,rw,2372069
15,rw,2406414
16,r,3101791
16,r,3216890
16,r,3234455
16,w,2268624
16,w,2298891
16,w,2267056
16,rw,2297382
16,rw,2294598
16,rw,2286410
17,r,3057178
17,r,3164970
17,r,3053360
17,w,2285235
17,w,2251858
17,w,2299761
17,rw,2301010
17,rw,2334477
17,rw,2319815
18,r,3075569
18,r,3088751
18,r,3116477
18,w,2283166
18,w,2258221
18,w,2296968
18,rw,2325216
18,rw,2304207
18,rw,2335949
19,r,3051695
19,r,3093914
19,r,2987167
19,w,2272620
19,w,2278668
19,w,2239480
19,rw,2260275
19,rw,2316427
19,rw,2314115
20,r,2945561
20,r,3001298
20,r,2971622
20,w,2267212
20,w,2290641
20,w,2287788
20,rw,2329572
20,rw,2325722
20,rw,2318098
