NumThreads,BenchType,NumOpsIn10Secs
1,r,9990284
1,r,10069990
1,r,10061722
1,w,8347048
1,w,8420047
1,w,8466354
1,rw,8117341
1,rw,8075232
1,rw,8090753
2,r,9931778
2,r,10148149
2,r,10037452
2,w,8459850
2,w,8104381
2,w,8428869
2,rw,8110356
2,rw,8058747
2,rw,8121343
3,r,9996607
3,r,10152288
3,r,10071715
3,w,8515792
3,w,8251866
3,w,8434607
3,rw,8168862
3,rw,8241305
3,rw,8123828
4,r,10012067
4,r,10139708
4,r,10100446
4,w,8316023
4,w,8344799
4,w,8422067
4,rw,7812701
4,rw,8009598
4,rw,8105605
5,r,9890383
5,r,10126455
5,r,10075209
5,w,8419520
5,w,8495820
5,w,8356956
5,rw,8151317
5,rw,8235597
5,rw,7983153
6,r,10075446
6,r,10070715
6,r,9945233
6,w,8376309
6,w,8403338
6,w,8365660
6,rw,8139627
6,rw,8181995
6,rw,8207112
7,r,9951913
7,r,10002461
7,r,10146102
7,w,8446414
7,w,8415201
7,w,8450863
7,rw,8228238
7,rw,8178318
7,rw,8110040
