NumThreads,BenchType,NumOpsIn5Secs
1,r,8911626
1,r,8818176
1,r,8868053
1,w,7718138
1,w,7827112
1,w,7787749
1,rw,7066195
1,rw,7032186
1,rw,6983904
2,r,2574867
2,r,2398289
2,r,2475161
2,w,2276292
2,w,2295215
2,w,2277712
2,rw,1760272
2,rw,1714746
2,rw,1752896
3,r,2341294
3,r,2340201
3,r,2368733
3,w,2247688
3,w,2167914
3,w,2277361
3,rw,1450982
3,rw,1588417
3,rw,1444549
4,r,2183411
4,r,2197635
4,r,2152660
4,w,1544862
4,w,1544128
4,w,1600951
4,rw,1260305
4,rw,1245566
4,rw,1235138
5,r,2139280
5,r,2154503
5,r,2167454
5,w,1404411
5,w,1396104
5,w,1401519
5,rw,1382264
5,rw,1205508
5,rw,1293548
6,r,2169359
6,r,2110388
6,r,2093932
6,w,1313237
6,w,1343171
6,w,1322594
6,rw,1226297
6,rw,1225089
6,rw,1212804
7,r,2004366
7,r,2220581
7,r,2237193
7,w,1331628
7,w,1318561
7,w,1309131
7,rw,1204229
7,rw,1204271
7,rw,1194651
8,r,2065119
8,r,2112087
8,r,2020725
8,w,1351457
8,w,1365463
8,w,1370879
8,rw,1267460
8,rw,1213341
8,rw,1197773
9,r,2205689
9,r,2039442
9,r,2139711
9,w,1380014
9,w,1402597
9,w,1431100
9,rw,1174221
9,rw,1199163
9,rw,1187948
10,r,2026736
10,r,2073477
10,r,2063390
10,w,1385480
10,w,1406936
10,w,1411296
10,rw,1197551
10,rw,1201387
10,rw,1185064
11,r,5702557
11,r,5637616
11,r,6172327
11,w,2180181
11,w,2122558
11,w,2135433
11,rw,1389607
11,rw,1442184
11,rw,1393489
12,r,6325779
12,r,6061442
12,r,5706493
12,w,2111308
12,w,2114984
12,w,2069330
12,rw,1396400
12,rw,1407567
12,rw,1399833
13,r,5839476
13,r,6450404
13,r,6162707
13,w,2112107
13,w,2123278
13,w,2091862
13,rw,1392946
13,rw,1391002
13,rw,1400562
14,r,5890609
14,r,6007173
14,r,6219974
14,w,2060950
14,w,2058019
14,w,2056779
14,rw,1386465
14,rw,1379154
14,rw,1394339
15,r,6485731
15,r,6596758
15,r,6037869
15,w,2076552
15,w,2034725
15,w,2078900
15,rw,1395626
15,rw,1394399
15,rw,1374404
16,r,6099781
16,r,6243526
16,r,6033785
16,w,2007634
16,w,1982191
16,w,2000500
16,rw,1381267
16,rw,1384288
16,rw,1382706
17,r,6635324
17,r,6335118
17,r,6049724
17,w,1993356
17,w,1978540
17,w,2007645
17,rw,1384677
17,rw,1385304
17,rw,1373098
18,r,6337949
18,r,6712985
18,r,6288197
18,w,1990630
18,w,2019526
18,w,2052567
18,rw,1381698
18,rw,1380972
18,rw,1388992
19,r,6098255
19,r,6728100
19,r,6701146
19,w,1999332
19,w,1991269
19,w,2026302
19,rw,1388236
19,rw,1381015
19,rw,1368677
20,r,6070824
20,r,6341959
20,r,6231448
20,w,2015371
20,w,2026486
20,w,2020465
20,rw,1383422
20,rw,1380929
20,rw,1388379
