NumThreads,BenchType,NumOpsIn5Secs
1,r,8788631
1,r,8794625
1,r,8923596
1,w,7780993
1,w,7744134
1,w,7747993
1,rw,7088918
1,rw,7100996
1,rw,7026127
2,r,4935403
2,r,5328259
2,r,5020948
2,w,2846891
2,w,2984761
2,w,3060038
2,rw,2435604
2,rw,2427075
2,rw,2453113
4,r,5064405
4,r,5330429
4,r,5081534
4,w,2587405
4,w,2595656
4,w,2656511
4,rw,1595799
4,rw,1587388
4,rw,1599080
8,r,5719380
8,r,5533583
8,r,5550110
8,w,2271604
8,w,2237734
8,w,2200877
8,rw,1433681
8,rw,1422990
8,rw,1429894
16,r,6549584
16,r,5988989
16,r,6246660
16,w,1994932
16,w,2006593
16,w,2031774
16,rw,1391785
16,rw,1397550
16,rw,1377595
